09:02:36.336873 lo    In  IP 127.0.0.1.51032 > 127.0.0.53.53: 25961+ [1au] A? 5643775.attacker.test. (50)
09:02:36.337099 eth0  Out IP 192.0.2.10.60304 > 192.0.2.220.53: 7311+ [1au] A? 5643775.attacker.test. (50)
09:02:36.347964 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 31 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347978 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 32 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348005 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 33 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348033 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 34 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348047 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 35 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348061 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 36 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348075 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 37 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348089 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 38 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348103 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 39 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348117 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 40 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348131 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 41 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348146 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 42 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348160 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 43 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348174 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 44 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348189 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 45 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348205 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 46 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348219 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 47 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348233 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 48 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348247 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 49 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348268 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 50 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348282 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 51 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348296 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 52 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348310 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 53 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348324 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 54 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348338 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 55 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348351 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 56 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348365 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 57 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348379 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 58 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348395 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 59 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348409 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 60 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348423 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 61 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348437 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 62 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
